,stereo-name,orig-name,ext-stereo-smiles,stereo-smiles,chi,orig-inchi,charge,mult
367,C14H14,C14H14,C1=CC=C(C=C1)CCC2C=CC=CC=2,C1=CC=C(C=C1)CCC2C=CC=CC=2,"InChI=1S/C14H14/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-10H,11-12H2","InChI=1S/C14H14/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-10H,11-12H2",0,1
368,B13DE2M-3,B13DE2M-3,C=C=C([CH2])C,C=C=C([CH2])C,"InChI=1S/C5H7/c1-4-5(2)3/h1-2H2,3H3","InChI=1S/C5H7/c1-4-5(2)3/h1-2H2,3H3",0,2
369,BUTA123TRIENE,BUTA123TRIENE,C=C=C=C,C=C=C=C,InChI=1S/C4H4/c1-3-4-2/h1-2H2,InChI=1S/C4H4/c1-3-4-2/h1-2H2,0,1
370,C#CCVCCJ-Z,C#CCVCCJ,C#C/C=C\[CH2],C#C/C=C\[CH2],"AMChI=1/C5H5/c1-3-5-4-2/h1,4-5H,2H2/b5-4-","InChI=1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2",0,2
371,C#CCVCCJ-E,C#CCVCCJ,C#C/C=C/[CH2],C#C/C=C/[CH2],"AMChI=1/C5H5/c1-3-5-4-2/h1,4-5H,2H2/b5-4+","InChI=1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2",0,2
372,C5H6-L-Z,C5H6-L,C#C/C=C\C,C#C/C=C\C,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3/b5-4-","InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3",0,1
373,C5H6-L-E,C5H6-L,C#C/C=C/C,C#C/C=C/C,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3/b5-4+","InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3",0,1
374,C5H7-13-2-Z,C5H7-13-2,C=[C]/C=C\C,C=[C]/C=C\C,"AMChI=1/C5H7/c1-3-5-4-2/h4-5H,1H2,2H3/b5-4-","InChI=1S/C5H7/c1-3-5-4-2/h4-5H,1H2,2H3",0,2
375,C5H7-13-2-E,C5H7-13-2,C=[C]/C=C/C,C=[C]/C=C/C,"AMChI=1/C5H7/c1-3-5-4-2/h4-5H,1H2,2H3/b5-4+","InChI=1S/C5H7/c1-3-5-4-2/h4-5H,1H2,2H3",0,2
376,C5H7-13-3,C5H7-13-3,[CH2]C=C=CC,[CH2]C=C=CC,"InChI=1S/C5H7/c1-3-5-4-2/h3-4H,1H2,2H3","InChI=1S/C5H7/c1-3-5-4-2/h3-4H,1H2,2H3",0,2
377,C5H7-13-3,C5H7-13-3,[CH2]C=C=CC,[CH2]C=C=CC,"InChI=1S/C5H7/c1-3-5-4-2/h3-4H,1H2,2H3","InChI=1S/C5H7/c1-3-5-4-2/h3-4H,1H2,2H3",0,2
378,C5H7-14-1-Z,C5H7-14-1,[H]/[C]=C\CC=C,[H]/[C]=C\CC=C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2/b3-1-","InChI=1S/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2",0,2
379,C5H7-14-1-E,C5H7-14-1,[H]/[C]=C/CC=C,[H]/[C]=C/CC=C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2/b3-1+","InChI=1S/C5H7/c1-3-5-4-2/h1,3-4H,2,5H2",0,2
380,C6H111-1-Z,C6H111-1,[H]/[C]=C\CCCC,[H]/[C]=C\CCCC,"AMChI=1/C6H11/c1-3-5-6-4-2/h1,3H,4-6H2,2H3/b3-1-","InChI=1S/C6H11/c1-3-5-6-4-2/h1,3H,4-6H2,2H3",0,2
381,C6H111-1-E,C6H111-1,[H]/[C]=C/CCCC,[H]/[C]=C/CCCC,"AMChI=1/C6H11/c1-3-5-6-4-2/h1,3H,4-6H2,2H3/b3-1+","InChI=1S/C6H11/c1-3-5-6-4-2/h1,3H,4-6H2,2H3",0,2
382,C6H111-2,C6H111-2,C=[C]CCCC,C=[C]CCCC,"InChI=1S/C6H11/c1-3-5-6-4-2/h1,4-6H2,2H3","InChI=1S/C6H11/c1-3-5-6-4-2/h1,4-6H2,2H3",0,2
383,C7H121-3-Z,C7H121-3,C=C/C=C\CCC,C=C/C=C\CCC,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,5,7H,1,4,6H2,2H3/b7-5-","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,5,7H,1,4,6H2,2H3",0,1
384,C7H121-3-E,C7H121-3,C=C/C=C/CCC,C=C/C=C/CCC,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,5,7H,1,4,6H2,2H3/b7-5+","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,5,7H,1,4,6H2,2H3",0,1
385,C7H121-4-Z,C7H121-4,C=CC/C=C\CC,C=CC/C=C\CC,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,6-7H,1,4-5H2,2H3/b7-6-","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,6-7H,1,4-5H2,2H3",0,1
386,C7H121-4-E,C7H121-4,C=CC/C=C/CC,C=CC/C=C/CC,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,6-7H,1,4-5H2,2H3/b7-6+","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3,6-7H,1,4-5H2,2H3",0,1
387,C7H121-5-Z,C7H121-5,C=CCC/C=C\C,C=CCC/C=C\C,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3-4,6H,1,5,7H2,2H3/b6-4-","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3-4,6H,1,5,7H2,2H3",0,1
388,C7H121-5-E,C7H121-5,C=CCC/C=C/C,C=CCC/C=C/C,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3-4,6H,1,5,7H2,2H3/b6-4+","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3-4,6H,1,5,7H2,2H3",0,1
389,C7H121-6,C7H121-6,C=CCCCC=C,C=CCCCC=C,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h3-4H,1-2,5-7H2","InChI=1S/C7H12/c1-3-5-7-6-4-2/h3-4H,1-2,5-7H2",0,1
390,C7H131-1-Z,C7H131-1,[H]/[C]=C\CCCCC,[H]/[C]=C\CCCCC,"AMChI=1/C7H13/c1-3-5-7-6-4-2/h1,3H,4-7H2,2H3/b3-1-","InChI=1S/C7H13/c1-3-5-7-6-4-2/h1,3H,4-7H2,2H3",0,2
391,C7H131-1-E,C7H131-1,[H]/[C]=C/CCCCC,[H]/[C]=C/CCCCC,"AMChI=1/C7H13/c1-3-5-7-6-4-2/h1,3H,4-7H2,2H3/b3-1+","InChI=1S/C7H13/c1-3-5-7-6-4-2/h1,3H,4-7H2,2H3",0,2
392,C7H131-2,C7H131-2,C=[C]CCCCC,C=[C]CCCCC,"InChI=1S/C7H13/c1-3-5-7-6-4-2/h1,4-7H2,2H3","InChI=1S/C7H13/c1-3-5-7-6-4-2/h1,4-7H2,2H3",0,2
393,CC5H9-C,CC5H9-C,C=[C]C(C)C,C=[C]C(C)C,"InChI=1S/C5H9/c1-4-5(2)3/h5H,1H2,2-3H3","InChI=1S/C5H9/c1-4-5(2)3/h5H,1H2,2-3H3",0,2
394,CC5H9-D-Z,CC5H9-D,[H]/[C]=C\C(C)C,[H]/[C]=C\C(C)C,"AMChI=1/C5H9/c1-4-5(2)3/h1,4-5H,2-3H3/b4-1-","InChI=1S/C5H9/c1-4-5(2)3/h1,4-5H,2-3H3",0,2
395,CC5H9-D-E,CC5H9-D,[H]/[C]=C/C(C)C,[H]/[C]=C/C(C)C,"AMChI=1/C5H9/c1-4-5(2)3/h1,4-5H,2-3H3/b4-1+","InChI=1S/C5H9/c1-4-5(2)3/h1,4-5H,2-3H3",0,2
396,CH2CCHCH2CHCH2,CH2CCHCH2CHCH2,C=CCC=C=C,C=C=CCC=C,"InChI=1S/C6H8/c1-3-5-6-4-2/h3,6H,1-2,5H2","InChI=1S/C6H8/c1-3-5-6-4-2/h3,6H,1-2,5H2",0,1
397,CHCCH2CH2CHCH2,CHCCH2CH2CHCH2,C#CCCC=C,C#CCCC=C,"InChI=1S/C6H8/c1-3-5-6-4-2/h1,4H,2,5-6H2","InChI=1S/C6H8/c1-3-5-6-4-2/h1,4H,2,5-6H2",0,1
398,CVCCJCCCVC-Z,CVCCJCCCVC,[CH2]/C=C\CCC=C,[CH2]/C=C\CCC=C,"AMChI=1/C7H11/c1-3-5-7-6-4-2/h3-5H,1-2,6-7H2/b5-3-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3-5H,1-2,6-7H2",0,2
399,CVCCJCCCVC-E,CVCCJCCCVC,[CH2]/C=C/CCC=C,[CH2]/C=C/CCC=C,"AMChI=1/C7H11/c1-3-5-7-6-4-2/h3-5H,1-2,6-7H2/b5-3+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3-5H,1-2,6-7H2",0,2
400,CVCCJCCVCC-ZZ,CVCCJCCVCC,[CH2]/C=C\C\C=C/C,[CH2]/C=C\C\C=C/C,"AMChI=1/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3/b5-3-,6-4-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3",0,2
401,CVCCJCCVCC-ZE,CVCCJCCVCC,[CH2]/C=C\C\C=C\C,[CH2]/C=C\C\C=C\C,"AMChI=1/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3/b5-3-,6-4+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3",0,2
402,CVCCJCCVCC-EZ,CVCCJCCVCC,[CH2]/C=C/C/C=C\C,[CH2]/C=C/C/C=C\C,"AMChI=1/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3/b5-3+,6-4-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3",0,2
403,CVCCJCCVCC-EE,CVCCJCCVCC,[CH2]/C=C/C/C=C/C,[CH2]/C=C/C/C=C/C,"AMChI=1/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3/b5-3+,6-4+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3-6H,1,7H2,2H3",0,2
404,CVCCJCVCC-ZZZ,CVCCJCVCC,[CH2]/C=/C\C=\C/C,[CH2]/C=C\C=C/C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3-,6-4-,6-5-","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
405,CVCCJCVCC-ZZE,CVCCJCVCC,[CH2]/C=/C\C=/C/C,[CH2]/C=C\C=C/C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3-,6-4-,6-5+","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
406,CVCCJCVCC-ZEZ,CVCCJCVCC,[CH2]/C=/C\C=\C\C,[CH2]/C=C\C=C\C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3-,6-4+,6-5-","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
407,CVCCJCVCC-ZEE,CVCCJCVCC,[CH2]/C=/C\C=/C\C,[CH2]/C=C\C=C\C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3-,6-4+,6-5+","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
408,CVCCJCVCC-EZZ,CVCCJCVCC,[CH2]/C=/C/C=\C\C,[CH2]/C=C/C=C\C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3+,6-4-,6-5-","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
409,CVCCJCVCC-EZE,CVCCJCVCC,[CH2]/C=/C/C=/C\C,[CH2]/C=C/C=C\C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3+,6-4-,6-5+","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
410,CVCCJCVCC-EEZ,CVCCJCVCC,[CH2]/C=/C/C=\C/C,[CH2]/C=C/C=C/C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3+,6-4+,6-5-","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
411,CVCCJCVCC-EEE,CVCCJCVCC,[CH2]/C=/C/C=/C/C,[CH2]/C=C/C=C/C,"AMChI=1/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3/b5-3+,6-4+,6-5+","InChI=1S/C6H9/c1-3-5-6-4-2/h3-6H,1H2,2H3",0,2
412,CVCCJCVCCC-ZZZ,CVCCJCVCCC,[CH2]/C=/C\C=\C/CC,[CH2]/C=C\C=C/CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3-,5-4-,6-5-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
413,CVCCJCVCCC-ZZE,CVCCJCVCCC,[CH2]/C=/C\C=\C\CC,[CH2]/C=C\C=C\CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3-,5-4-,6-5+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
414,CVCCJCVCCC-ZEZ,CVCCJCVCCC,[CH2]/C=/C\C=/C/CC,[CH2]/C=C\C=C/CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3-,5-4+,6-5-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
415,CVCCJCVCCC-ZEE,CVCCJCVCCC,[CH2]/C=/C\C=/C\CC,[CH2]/C=C\C=C\CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3-,5-4+,6-5+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
416,CVCCJCVCCC-EZZ,CVCCJCVCCC,[CH2]/C=/C/C=\C\CC,[CH2]/C=C/C=C\CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3+,5-4-,6-5-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
417,CVCCJCVCCC-EZE,CVCCJCVCCC,[CH2]/C=/C/C=\C/CC,[CH2]/C=C/C=C/CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3+,5-4-,6-5+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
418,CVCCJCVCCC-EEZ,CVCCJCVCCC,[CH2]/C=/C/C=/C\CC,[CH2]/C=C/C=C\CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3+,5-4+,6-5-","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
419,CVCCJCVCCC-EEE,CVCCJCVCCC,[CH2]/C=/C/C=/C/CC,[CH2]/C=C/C=C/CC,"AMChI=1/C7H11/c1-3-4-5-6-7-2/h3-6H,1,7H2,2H3/b4-3+,5-4+,6-5+","InChI=1S/C7H11/c1-3-5-7-6-4-2/h3,5-7H,1,4H2,2H3",0,2
420,I2C8D3-Z,I2C8D3,CCC/C=C\C(C)C,CCC/C=C\C(C)C,"InChI=1S/C8H16/c1-4-5-6-7-8(2)3/h6-8H,4-5H2,1-3H3/b7-6-","InChI=1S/C8H16/c1-4-5-6-7-8(2)3/h6-8H,4-5H2,1-3H3",0,1
421,I2C8D3-E,I2C8D3,CCC/C=C/C(C)C,CCC/C=C/C(C)C,"InChI=1S/C8H16/c1-4-5-6-7-8(2)3/h6-8H,4-5H2,1-3H3/b7-6+","InChI=1S/C8H16/c1-4-5-6-7-8(2)3/h6-8H,4-5H2,1-3H3",0,1
422,I3C7D1-A0,I3C7D1,CCC[C@@H](C)C=C,C=C[C@H](C)CCC,"InChI=1S/C7H14/c1-4-6-7(3)5-2/h5,7H,2,4,6H2,1,3H3/t7-/m0/s1","InChI=1S/C7H14/c1-4-6-7(3)5-2/h5,7H,2,4,6H2,1,3H3",0,1
423,I3C7D1-A1,I3C7D1,CCC[C@H](C)C=C,C=C[C@@H](C)CCC,"InChI=1S/C7H14/c1-4-6-7(3)5-2/h5,7H,2,4,6H2,1,3H3/t7-/m1/s1","InChI=1S/C7H14/c1-4-6-7(3)5-2/h5,7H,2,4,6H2,1,3H3",0,1
424,I3C7D1-3-Z,I3C7D1-3,[CH2]/C=C(C)\CCC,[CH2]/C=C(C)\CCC,"AMChI=1/C7H13/c1-4-7(3)6-5-2/h4H,1,5-6H2,2-3H3/b7-4-","InChI=1S/C7H13/c1-4-6-7(3)5-2/h5H,2,4,6H2,1,3H3",0,2
425,I3C7D1-3-E,I3C7D1-3,[CH2]/C=C(C)/CCC,[CH2]/C=C(C)/CCC,"AMChI=1/C7H13/c1-4-7(3)6-5-2/h4H,1,5-6H2,2-3H3/b7-4+","InChI=1S/C7H13/c1-4-6-7(3)5-2/h5H,2,4,6H2,1,3H3",0,2
426,I3C8D1-A0,I3C8D1,CCCC[C@@H](C)C=C,C=C[C@H](C)CCCC,"InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3/t8-/m0/s1","InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3",0,1
427,I3C8D1-A1,I3C8D1,CCCC[C@H](C)C=C,C=C[C@@H](C)CCCC,"InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3/t8-/m1/s1","InChI=1S/C8H16/c1-4-6-7-8(3)5-2/h5,8H,2,4,6-7H2,1,3H3",0,1
428,I4C8D2-ZA0,I4C8D2,C/C=C\[C@H](C)CCC,C/C=C\[C@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4-/t8-/m0/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
429,I4C8D2-EA0,I4C8D2,C/C=C/[C@H](C)CCC,C/C=C/[C@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4+/t8-/m0/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
430,I4C8D2-ZA1,I4C8D2,C/C=C\[C@@H](C)CCC,C/C=C\[C@@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4-/t8-/m1/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
431,I4C8D2-EA1,I4C8D2,C/C=C/[C@@H](C)CCC,C/C=C/[C@@H](C)CCC,"InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3/b6-4+/t8-/m1/s1","InChI=1S/C8H16/c1-4-6-8(3)7-5-2/h4,6,8H,5,7H2,1-3H3",0,1
432,IC5D1T3,IC5D1T3,C#CC(=C)C,C#CC(=C)C,"InChI=1S/C5H6/c1-4-5(2)3/h1H,2H2,3H3","InChI=1S/C5H6/c1-4-5(2)3/h1H,2H2,3H3",0,1
433,IC5D1T3-1J,IC5D1T3-1J,C#CC([CH2])=C,C#CC([CH2])=C,"InChI=1S/C5H5/c1-4-5(2)3/h1H,2-3H2","InChI=1S/C5H5/c1-4-5(2)3/h1H,2-3H2",0,2
434,IC5D1T3-1V-Z,IC5D1T3-1V,[H]/[C]=C(C)\C#C,[H]/[C]=C(C)\C#C,"AMChI=1/C5H5/c1-4-5(2)3/h1-2H,3H3/b5-2-","InChI=1S/C5H5/c1-4-5(2)3/h1-2H,3H3",0,2
435,IC5D1T3-1V-E,IC5D1T3-1V,[H]/[C]=C(C)/C#C,[H]/[C]=C(C)/C#C,"AMChI=1/C5H5/c1-4-5(2)3/h1-2H,3H3/b5-2+","InChI=1S/C5H5/c1-4-5(2)3/h1-2H,3H3",0,2
436,IC5D1T3-4J,IC5D1T3-4J,[C]#CC(=C)C,[C]#CC(=C)C,"InChI=1S/C5H5/c1-4-5(2)3/h2H2,3H3","InChI=1S/C5H5/c1-4-5(2)3/h2H2,3H3",0,2
437,IC5T1,IC5T1,C#CC(C)C,C#CC(C)C,"InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3","InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3",0,1
438,IC5T1-3,IC5T1-3,[CH]=C=C(C)C,[CH]=C=C(C)C,"InChI=1S/C5H7/c1-4-5(2)3/h1H,2-3H3","InChI=1S/C5H7/c1-4-5(2)3/h1H,2-3H3",0,2
439,IC5T1-4-A0,IC5T1-4,C#C[C@@H]([CH2])C,C#C[C@@H]([CH2])C,"InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3/t5-/m0/s1","InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3",0,2
440,IC5T1-4-A1,IC5T1-4,C#C[C@H]([CH2])C,C#C[C@H]([CH2])C,"InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3/t5-/m1/s1","InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3",0,2
441,P13DE1J-ZZ,P13DE1J,[H]/[C]=C\C=C/C,[H]/[C]=C\C=C/C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1-,5-4-","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
442,P13DE1J-ZE,P13DE1J,[H]/[C]=C\C=C\C,[H]/[C]=C\C=C\C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1-,5-4+","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
443,P13DE1J-EZ,P13DE1J,[H]/[C]=C/C=C\C,[H]/[C]=C/C=C\C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1+,5-4-","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
444,P13DE1J-EE,P13DE1J,[H]/[C]=C/C=C/C,[H]/[C]=C/C=C/C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1+,5-4+","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
445,BC5H9-C,BC5H9-C,C[C]=C(C)C,C[C]=C(C)C,InChI=1S/C5H9/c1-4-5(2)3/h1-3H3,InChI=1S/C5H9/c1-4-5(2)3/h1-3H3,0,2
446,C6H7-2-ZZ,C6H7-2,C=[C]/C=/C\C=\C,C=[C]/C=C\C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4-,6-5-","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
447,C6H7-2-ZE,C6H7-2,C=[C]/C=/C/C=\C,C=[C]/C=C/C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4-,6-5+","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
448,C6H7-2-EZ,C6H7-2,C=[C]/C=/C\C=/C,C=[C]/C=C\C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4+,6-5-","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
449,C6H7-2-EE,C6H7-2,C=[C]/C=/C/C=/C,C=[C]/C=C/C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4+,6-5+","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
